county,tract,bg,zcta5,cntyname,zipname,pop10,afact
6001,4001,1,94611,Alameda CA,"Oakland, CA",118,0.04
6001,4001,1,94618,Alameda CA,"Oakland, CA",626,0.213
6001,4001,1,94704,Alameda CA,"Berkeley, CA",135,0.046
6001,4001,1,94705,Alameda CA,"Berkeley, CA",2058,0.701
6001,4002,1,94618,Alameda CA,"Oakland, CA",979,0.962
6001,4002,1,94705,Alameda CA,"Berkeley, CA",39,0.038
6001,4002,2,94618,Alameda CA,"Oakland, CA",956,1
6001,4003,1,94618,Alameda CA,"Oakland, CA",1078,1
6001,4003,2,94618,Alameda CA,"Oakland, CA",1298,1
6001,4003,3,94609,Alameda CA,"Oakland, CA",564,0.517
6001,4003,3,94618,Alameda CA,"Oakland, CA",527,0.483
6001,4003,4,94618,Alameda CA,"Oakland, CA",1398,1
6001,4004,1,94618,Alameda CA,"Oakland, CA",1421,1
6001,4004,2,94609,Alameda CA,"Oakland, CA",1033,0.881
6001,4004,2,94618,Alameda CA,"Oakland, CA",139,0.119
6001,4004,3,94609,Alameda CA,"Oakland, CA",1050,0.946
6001,4004,3,94618,Alameda CA,"Oakland, CA",60,0.054
6001,4005,1,94609,Alameda CA,"Oakland, CA",2008,1
6001,4005,2,94609,Alameda CA,"Oakland, CA",822,1
6001,4005,3,94609,Alameda CA,"Oakland, CA",687,1
6001,4006,1,94609,Alameda CA,"Oakland, CA",950,1
6001,4006,2,94609,Alameda CA,"Oakland, CA",621,1
6001,4007,1,94608,Alameda CA,"Oakland, CA",728,0.675
6001,4007,1,94609,Alameda CA,"Oakland, CA",350,0.325
6001,4007,2,94608,Alameda CA,"Oakland, CA",860,0.73
6001,4007,2,94609,Alameda CA,"Oakland, CA",318,0.27
6001,4007,3,94608,Alameda CA,"Oakland, CA",507,0.7
6001,4007,3,94609,Alameda CA,"Oakland, CA",217,0.3
6001,4007,4,94608,Alameda CA,"Oakland, CA",972,0.793
6001,4007,4,94609,Alameda CA,"Oakland, CA",254,0.207
6001,4008,1,94608,Alameda CA,"Oakland, CA",1268,1
6001,4008,2,94608,Alameda CA,"Oakland, CA",1051,1
6001,4008,3,94608,Alameda CA,"Oakland, CA",1275,1
6001,4009,1,94608,Alameda CA,"Oakland, CA",1172,1
6001,4009,2,94608,Alameda CA,"Oakland, CA",1130,1
6001,4010,1,94608,Alameda CA,"Oakland, CA",685,0.763
6001,4010,1,94609,Alameda CA,"Oakland, CA",213,0.237
6001,4010,2,94608,Alameda CA,"Oakland, CA",508,0.617
6001,4010,2,94609,Alameda CA,"Oakland, CA",316,0.383
6001,4010,3,94608,Alameda CA,"Oakland, CA",892,0.708
6001,4010,3,94609,Alameda CA,"Oakland, CA",368,0.292
6001,4010,4,94609,Alameda CA,"Oakland, CA",710,1
6001,4010,5,94608,Alameda CA,"Oakland, CA",661,0.641
6001,4010,5,94609,Alameda CA,"Oakland, CA",370,0.359
6001,4010,6,94608,Alameda CA,"Oakland, CA",955,1
6001,4011,1,94609,Alameda CA,"Oakland, CA",663,1
6001,4011,2,94609,Alameda CA,"Oakland, CA",1321,1
6001,4011,3,94609,Alameda CA,"Oakland, CA",1047,1
6001,4011,4,94609,Alameda CA,"Oakland, CA",1125,1
6001,4012,1,94609,Alameda CA,"Oakland, CA",975,0.916
6001,4012,1,94618,Alameda CA,"Oakland, CA",89,0.084
6001,4012,2,94609,Alameda CA,"Oakland, CA",780,1
6001,4012,3,94609,Alameda CA,"Oakland, CA",560,0.979
6001,4012,3,94611,Alameda CA,"Oakland, CA",12,0.021
6001,4013,1,94609,Alameda CA,"Oakland, CA",1031,1
6001,4013,2,94609,Alameda CA,"Oakland, CA",240,0.165
6001,4013,2,94612,Alameda CA,"Oakland, CA",1218,0.835
6001,4013,3,94609,Alameda CA,"Oakland, CA",473,0.455
6001,4013,3,94611,Alameda CA,"Oakland, CA",1,0.001
6001,4013,3,94612,Alameda CA,"Oakland, CA",565,0.544
6001,4014,1,94608,Alameda CA,"Oakland, CA",525,0.479
6001,4014,1,94609,Alameda CA,"Oakland, CA",570,0.521
6001,4014,2,94608,Alameda CA,"Oakland, CA",933,0.551
6001,4014,2,94609,Alameda CA,"Oakland, CA",761,0.449
6001,4014,3,94607,Alameda CA,"Oakland, CA",2,0.001
6001,4014,3,94608,Alameda CA,"Oakland, CA",66,0.043
6001,4014,3,94609,Alameda CA,"Oakland, CA",137,0.09
6001,4014,3,94612,Alameda CA,"Oakland, CA",1320,0.866
6001,4015,1,94608,Alameda CA,"Oakland, CA",1301,1
6001,4015,2,94608,Alameda CA,"Oakland, CA",619,1
6001,4015,3,94608,Alameda CA,"Oakland, CA",710,1
6001,4016,1,94607,Alameda CA,"Oakland, CA",1205,1
6001,4016,2,94607,Alameda CA,"Oakland, CA",932,0.973
6001,4016,2,94612,Alameda CA,"Oakland, CA",26,0.027
6001,4017,1,94607,Alameda CA,"Oakland, CA",25,0.024
6001,4017,1,94608,Alameda CA,"Oakland, CA",1033,0.976
6001,4017,2,94607,Alameda CA,"Oakland, CA",1513,1
6001,4017,3,94607,Alameda CA,"Oakland, CA",94,0.979
6001,4017,3,99999,Alameda CA,99999,2,0.021
6001,4018,1,94607,Alameda CA,"Oakland, CA",912,1
6001,4018,2,94607,Alameda CA,"Oakland, CA",791,1
6001,4022,1,94607,Alameda CA,"Oakland, CA",877,1
6001,4022,2,94607,Alameda CA,"Oakland, CA",842,1
6001,4022,3,94607,Alameda CA,"Oakland, CA",666,1
6001,4024,1,94607,Alameda CA,"Oakland, CA",1368,1
6001,4024,2,94607,Alameda CA,"Oakland, CA",983,1
6001,4025,1,94607,Alameda CA,"Oakland, CA",1055,1
6001,4025,2,94607,Alameda CA,"Oakland, CA",729,1
6001,4026,1,94607,Alameda CA,"Oakland, CA",1109,0.964
6001,4026,1,94612,Alameda CA,"Oakland, CA",42,0.036
6001,4027,1,94612,Alameda CA,"Oakland, CA",535,1
6001,4027,2,94607,Alameda CA,"Oakland, CA",770,0.745
6001,4027,2,94612,Alameda CA,"Oakland, CA",264,0.255
6001,4028,1,94612,Alameda CA,"Oakland, CA",1428,1
6001,4028,2,94612,Alameda CA,"Oakland, CA",1917,1
6001,4029,1,94612,Alameda CA,"Oakland, CA",1434,1
6001,4030,1,94607,Alameda CA,"Oakland, CA",1569,1
6001,4030,2,94607,Alameda CA,"Oakland, CA",403,0.331
6001,4030,2,94612,Alameda CA,"Oakland, CA",816,0.669
6001,4031,1,94607,Alameda CA,"Oakland, CA",2237,1
6001,4031,1,94612,Alameda CA,"Oakland, CA",1,0
6001,4033,1,94607,Alameda CA,"Oakland, CA",2420,1
6001,4033,2,94607,Alameda CA,"Oakland, CA",1634,1
6001,4034,1,94610,Alameda CA,"Oakland, CA",1,0.001
6001,4034,1,94612,Alameda CA,"Oakland, CA",918,0.999
6001,4034,2,94612,Alameda CA,"Oakland, CA",1349,1
6001,4034,3,94612,Alameda CA,"Oakland, CA",884,1
6001,4034,4,94612,Alameda CA,"Oakland, CA",994,1
6001,4035.01,1,94611,Alameda CA,"Oakland, CA",1322,0.661
6001,4035.01,1,94612,Alameda CA,"Oakland, CA",678,0.339
6001,4035.01,2,94611,Alameda CA,"Oakland, CA",1703,1
6001,4035.01,3,94610,Alameda CA,"Oakland, CA",20,0.03
6001,4035.01,3,94611,Alameda CA,"Oakland, CA",651,0.97
6001,4035.02,1,94610,Alameda CA,"Oakland, CA",852,1
6001,4035.02,2,94610,Alameda CA,"Oakland, CA",735,0.645
6001,4035.02,2,94611,Alameda CA,"Oakland, CA",404,0.355
6001,4036,1,94610,Alameda CA,"Oakland, CA",1070,1
6001,4036,2,94610,Alameda CA,"Oakland, CA",1514,1
6001,4036,3,94610,Alameda CA,"Oakland, CA",1898,1
6001,4037.01,1,94610,Alameda CA,"Oakland, CA",1231,1
6001,4037.01,2,94610,Alameda CA,"Oakland, CA",1356,1
6001,4037.02,1,94610,Alameda CA,"Oakland, CA",545,1
6001,4037.02,2,94610,Alameda CA,"Oakland, CA",1179,1
6001,4038,1,94610,Alameda CA,"Oakland, CA",614,1
6001,4038,2,94610,Alameda CA,"Oakland, CA",804,1
6001,4038,3,94610,Alameda CA,"Oakland, CA",809,1
6001,4038,4,94610,Alameda CA,"Oakland, CA",1234,1
6001,4039,1,94610,Alameda CA,"Oakland, CA",1199,0.901
6001,4039,1,94611,Alameda CA,"Oakland, CA",132,0.099
6001,4039,2,94610,Alameda CA,"Oakland, CA",692,1
6001,4039,3,94610,Alameda CA,"Oakland, CA",1561,1
6001,4040,1,94611,Alameda CA,"Oakland, CA",1667,1
6001,4040,2,94611,Alameda CA,"Oakland, CA",1152,1
6001,4041.01,1,94611,Alameda CA,"Oakland, CA",1149,1
6001,4041.01,2,94611,Alameda CA,"Oakland, CA",1780,1
6001,4041.02,1,94611,Alameda CA,"Oakland, CA",1359,1
6001,4041.02,2,94611,Alameda CA,"Oakland, CA",924,1
6001,4042,1,94618,Alameda CA,"Oakland, CA",993,1
6001,4042,2,94618,Alameda CA,"Oakland, CA",1244,1
6001,4042,3,94611,Alameda CA,"Oakland, CA",112,0.09
6001,4042,3,94618,Alameda CA,"Oakland, CA",1134,0.91
6001,4043,1,94618,Alameda CA,"Oakland, CA",1195,1
6001,4043,2,94618,Alameda CA,"Oakland, CA",875,1
6001,4043,3,94618,Alameda CA,"Oakland, CA",1148,1
6001,4044,1,94611,Alameda CA,"Oakland, CA",1616,0.68
6001,4044,1,94618,Alameda CA,"Oakland, CA",760,0.32
6001,4044,2,94611,Alameda CA,"Oakland, CA",1232,1
6001,4044,3,94611,Alameda CA,"Oakland, CA",1706,1
6001,4045.01,1,94611,Alameda CA,"Oakland, CA",1677,1
6001,4045.02,1,94611,Alameda CA,"Oakland, CA",903,1
6001,4045.02,2,94611,Alameda CA,"Oakland, CA",1337,1
6001,4045.02,3,94611,Alameda CA,"Oakland, CA",1664,1
6001,4045.02,4,94611,Alameda CA,"Oakland, CA",1880,1
6001,4046,1,94611,Alameda CA,"Oakland, CA",1102,1
6001,4046,2,94611,Alameda CA,"Oakland, CA",737,1
6001,4046,3,94611,Alameda CA,"Oakland, CA",1127,1
6001,4046,4,94602,Alameda CA,"Oakland, CA",317,0.229
6001,4046,4,94611,Alameda CA,"Oakland, CA",1070,0.771
6001,4047,1,94602,Alameda CA,"Oakland, CA",860,0.989
6001,4047,1,94611,Alameda CA,"Oakland, CA",10,0.011
6001,4047,2,94602,Alameda CA,"Oakland, CA",1084,1
6001,4048,1,94602,Alameda CA,"Oakland, CA",1374,1
6001,4048,2,94602,Alameda CA,"Oakland, CA",1310,1
6001,4049,1,94602,Alameda CA,"Oakland, CA",850,1
6001,4049,2,94602,Alameda CA,"Oakland, CA",1076,1
