,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg,2020-01,2020-02,2020-03,2020-04,base
1,sg:000af9a3aeb94c8d9e2f8fa933b88ae3,Messiah Lutheran Church,37.809699,-121.952176,Danville,CA,94526,06,06013,Contra Costa County,060133462041,17.0,20.0,22.0,12.0,18.5
4,sg:0037a4917b2d44b694428ca6b71ce405,Foothills Community Church,38.419528,-122.704056,Santa Rosa,CA,95404,06,06097,Sonoma County,060971514011,45.0,39.0,41.0,23.0,42.0
5,sg:003bec057f294ab48127e9f723fb993f,Lutheran Church of Prayer,35.402842,-118.914625,Bakersfield,CA,93306,06,06029,Kern County,060290009104,9.0,9.0,12.0,1.0,9.0
6,sg:0044e318bb7747e69f23b64fb846666b,Trabuco Presbyterian Church,33.646336,-117.57719,Trabuco Canyon,CA,92679,06,06059,Orange County,060590320423,39.0,45.0,27.0,22.0,42.0
7,sg:004d8dc6f17b4cd9bcd41c866a310cbf,Community of Christ,37.576295,-122.040698,Fremont,CA,94555,06,06001,Alameda County,060014414022,21.0,16.0,14.0,2.0,18.5
8,sg:00517ebfcde44215a04cf58fd8406c89,Cathedral Chapel Church,34.058003,-118.346018,Los Angeles,CA,90036,06,06037,Los Angeles County,060372162003,15.0,13.0,4.0,3.0,14.0
9,sg:0055eaf6d0604f8e859233ca8e44d6c4,Iglesia Del Senor,33.979073,-118.191476,Bell,CA,90201,06,06037,Los Angeles County,060375336012,18.0,15.0,12.0,9.0,16.5
10,sg:006bd646ccdc435f9050778ad73139b9,St Mark AME Zion Church,37.471487,-122.13531299999998,East Palo Alto,CA,94303,06,06081,San Mateo County,060816119001,11.0,7.0,4.0,4.0,9.0
11,sg:0070b7df79a942ccae4cdd0e56e2b890,St Paul's United Methodist Church,34.181561,-119.180716,Oxnard,CA,93033,06,06111,Ventura County,061110038021,11.0,15.0,11.0,2.0,13.0
12,sg:0073c9a85f2e4471a2d0fdfed6a7f7e3,St Peter's Episcopal Church,33.737178,-118.31364,San Pedro,CA,90732,06,06037,Los Angeles County,060372964011,20.0,19.0,9.0,2.0,19.5
13,sg:0076dd63ab994c76aa8768216d850bac,Hsi Fang Temple,32.759753,-117.146601,San Diego,CA,92116,06,06073,San Diego County,060730005002,36.0,27.0,11.0,2.0,31.5
14,sg:007b14c986224df78a96ee811e966adb,First Presbyterian Church Of Petaluma,38.224921,-122.643049,Petaluma,CA,94952,06,06097,Sonoma County,060971508004,22.0,23.0,15.0,7.0,22.5
15,sg:007ca5c9f9874e0ba8e3664126025ac8,Central Christian Church,37.277476,-121.910959,San Jose,CA,95124,06,06085,Santa Clara County,060855029022,113.0,107.0,69.0,30.0,110.0
16,sg:00823db6c5844c9aa02465637f89a8fd,Lord's Light Community Church,33.832075,-118.040701,Cypress,CA,90630,06,06059,Orange County,060591101043,23.0,19.0,15.0,0.0,21.0
17,sg:0090c65c43754b0aba4c3ac4959f4f77,Coast Christian Fellowship,33.806631,-118.35673,Torrance,CA,90505,06,06037,Los Angeles County,060376513021,16.0,19.0,8.0,2.0,17.5
18,sg:0094ab131e3d45108bee2b17c7d15497,Pine Mtn Christian Community Church Activity Ctr,34.849488,-119.165889,Frazier Park,CA,93222,06,06029,Kern County,060290033062,9.0,6.0,8.0,4.0,7.5
19,sg:009932702cb54830a58f5b650784e301,City of Grace,38.547366,-121.437059,Sacramento,CA,95817,06,06067,Sacramento County,060670017004,14.0,14.0,3.0,7.0,14.0
20,sg:009f99d28d784118942bf0473c5edb78,Macedonia Baptist Church,38.645941,-121.449188,Sacramento,CA,95838,06,06067,Sacramento County,060670067014,34.0,44.0,27.0,2.0,39.0
21,sg:00a15c25a7ba4896a438d77884f4f63f,Shekinah Church,33.897131,-118.082113,Norwalk,CA,90650,06,06037,Los Angeles County,060375527005,73.0,35.0,36.0,18.0,54.0
22,sg:00a1b2c696f348ce8de359ee599934ca,St Paul Lutheran Church,33.9126,-117.931987,Fullerton,CA,92835,06,06059,Orange County,060590017053,29.0,48.0,23.0,3.0,38.5
23,sg:00a204953ea040fc9540657f89793dd0,Grace Community Christian Church,37.57894,-120.925842,Ceres,CA,95307,06,06099,Stanislaus County,060990030012,6.0,5.0,1.0,4.0,5.5
24,sg:00b32e5bf3674310bc889acd9672a8d7,North Valley Baptist Church,40.166132,-122.252479,Red Bluff,CA,96080,06,06103,Tehama County,061030007001,44.0,58.0,31.0,26.0,51.0
25,sg:00b4add352e848cf8d0fd5f757d676f5,South Bay LA Chinese Alliance Church,33.724011,-118.301531,San Pedro,CA,90731,06,06037,Los Angeles County,060372972022,51.0,51.0,33.0,25.0,51.0
26,sg:00bf703848c1419a98e6ef8dc89b33ca,First Baptist Church,34.455151,-119.234306,Ojai,CA,93023,06,06111,Ventura County,061110009034,8.0,8.0,6.0,2.0,8.0
28,sg:00c3ede8c36845948310f5439f20a246,River of Life Church,38.516869,-122.995541,Guerneville,CA,95446,06,06097,Sonoma County,060971537044,10.0,7.0,5.0,1.0,8.5
29,sg:00c46b9506d049b291fd0364c28a4fd2,The Church Of Jesus Christ Of Latter Day Saints,39.053096,-122.919634,Lakeport,CA,95453,06,06033,Lake County,060330004001,42.0,36.0,32.0,19.0,39.0
30,sg:00ca9d97fefb4545bd7818c4d0f1e470,Emmanuel Presbyterian Church,37.422768,-121.958186,San Jose,CA,95134,06,06085,Santa Clara County,060855046021,163.0,146.0,66.0,3.0,154.5
31,sg:00ce29fa2c684284be1afd442d97800d,CrossWalk Church,34.064605,-117.239707,Redlands,CA,92374,06,06071,San Bernardino County,060710078001,71.0,53.0,36.0,1.0,62.0
32,sg:00cedfea472441e5ab2ef6d925f75d00,Carmichael Christian Church,38.617783,-121.350934,Carmichael,CA,95608,06,06067,Sacramento County,060670059044,25.0,18.0,21.0,9.0,21.5
33,sg:00d73bc65bb744b3b59e26acc8a7a8af,Christ Church Sierra Madre,34.161443,-118.056316,Sierra Madre,CA,91024,06,06037,Los Angeles County,060374305022,7.0,13.0,4.0,4.0,10.0
34,sg:00d753158e9449078adf72f8db023bd5,St Anthony's Catholic Church,40.14044000000001,-120.947348,Greenville,CA,95947,06,06063,Plumas County,060630004003,14.0,10.0,12.0,10.0,12.0
35,sg:00e209f3d03f48679bed3d5587f6c332,Community Church,37.327948,-121.854734,San Jose,CA,95122,06,06085,Santa Clara County,060855031171,26.0,17.0,27.0,8.0,21.5
36,sg:00ed83fabae14a3fa465a69e5144f6df,Grace Reformation Church,38.651249,-121.730969,Woodland,CA,95776,06,06113,Yolo County,061130112063,35.0,34.0,19.0,21.0,34.5
37,sg:00ee844898dd480abaeb4507478aa911,International Action Ministries,32.78954,-117.200663,San Diego,CA,92110,06,06073,San Diego County,060730091034,10.0,10.0,3.0,7.0,10.0
38,sg:00eeb479012748b4900b9391beb6563b,Universalist Unitarian Church,33.982423,-117.371358,Riverside,CA,92501,06,06065,Riverside County,060650303001,27.0,9.0,5.0,3.0,18.0
39,sg:00f850a0dad346189707500cc06d515a,First Baptist Church of Fortuna,40.599157,-124.145867,Fortuna,CA,95540,06,06023,Humboldt County,060230109011,13.0,19.0,9.0,10.0,16.0
40,sg:0100316ffea84d9a975fb1a07aee3cac,Bibleway Association Church,39.522033,-122.197889,Willows,CA,95988,06,06021,Glenn County,060210104005,8.0,7.0,4.0,3.0,7.5
41,sg:0102fa5c13d948ba894c61ea4cb09792,Church of Christ,32.584693,-117.112174,Imperial Beach,CA,91932,06,06073,San Diego County,060730105023,9.0,6.0,3.0,1.0,7.5
42,sg:010c827e25894cf380dce874b58c0e10,Temple of Peace Missionary Baptist Church,37.772472,-122.192175,Oakland,CA,94605,06,06001,Alameda County,060014077001,18.0,9.0,4.0,2.0,13.5
44,sg:011ccd4ee9074aa18bdaae9dec4e055a,Blue Ocean,34.012294,-118.471034,Santa Monica,CA,90405,06,06037,Los Angeles County,060377022012,25.0,16.0,14.0,3.0,20.5
46,sg:011e0b3c575e4f918db308b59bce8fdf,Apostolic Church,37.599311,-122.017801,Union City,CA,94587,06,06001,Alameda County,060014402001,8.0,4.0,2.0,0.0,6.0
47,sg:0135c8cf2d9a46bf89cbd67cb705177d,Grace Lutheran Church,34.003367,-118.289809,Los Angeles,CA,90037,06,06037,Los Angeles County,060372321101,39.0,35.0,12.0,14.0,37.0
48,sg:014867a98281449da434ee19557dfa79,Korean Seventh Day Adventist Church,33.897104,-118.0821,Norwalk,CA,90650,06,06037,Los Angeles County,060375527005,117.0,78.0,73.0,28.0,97.5
49,sg:014aaea1195b402e8c033d3eb440839a,Lemoore Presbyterian Church,36.29991,-119.784131,Lemoore,CA,93245,06,06031,Kings County,060310004045,13.0,14.0,14.0,2.0,13.5
50,sg:014fd213172a4b82a1eab46d3269debd,Grace Covenant Community Church,33.915132,-117.890373,Brea,CA,92821,06,06059,Orange County,060590015044,32.0,28.0,16.0,3.0,30.0
51,sg:01512b8e8f1d465facca0244bc072396,Acts 9 Grace Bible Church,32.81250900000001,-117.204676,San Diego,CA,92117,06,06073,San Diego County,060730085033,14.0,12.0,7.0,4.0,13.0
52,sg:015536c754b042598980b69390ed2f78,Bible Methodist Church,37.967302,-121.337942,Stockton,CA,95204,06,06077,San Joaquin County,060770010001,46.0,61.0,25.0,20.0,53.5
53,sg:0160f3c8fdda4ccab560de141d07f725,The Church of Jesus Christ of Latter day Saints,34.405972,-119.516064,Carpinteria,CA,93013,06,06083,Santa Barbara County,060830016012,34.0,35.0,22.0,14.0,34.5
54,sg:01666faaff5245bcb2dd2d828128ae8c,Panorama Full Gospel Four Square Church,34.253394,-118.479227,North Hills,CA,91343,06,06037,Los Angeles County,060371098004,31.0,26.0,25.0,6.0,28.5
55,sg:016ef7763190453191a13ec728e148d2,Ner Tamid Conservative Synaogue,32.99381,-117.061134,Poway,CA,92064,06,06073,San Diego County,060730170501,26.0,20.0,17.0,1.0,23.0
56,sg:01732cf58ab0423f8abbe550437f4caa,Sacred Heart Parish,36.678293,-121.658814,Salinas,CA,93901,06,06053,Monterey County,060530013001,60.0,91.0,40.0,4.0,75.5
58,sg:017bee4b3cbc40e0ba1e6fa5d95b526c,Nichiren Buddhist Church,34.038667,-118.206576,Los Angeles,CA,90033,06,06037,Los Angeles County,060372043001,9.0,2.0,0.0,1.0,5.5
59,sg:017fcdb31c0040d799e6c9cca250d056,St Andrew Armenian Church,37.302864,-122.040894,Cupertino,CA,95014,06,06085,Santa Clara County,060855078082,8.0,6.0,7.0,3.0,7.0
60,sg:018e0254f03f41b28f8de11e2cd51cd0,Stockton Alliance Church,38.025394,-121.322156,Stockton,CA,95210,06,06077,San Joaquin County,060770033101,34.0,24.0,25.0,4.0,29.0
61,sg:018edcba92104d18b92f74481337d537,Wat Thai Srisoda Sun Valley,34.251434,-118.412301,Pacoima,CA,91331,06,06037,Los Angeles County,060371048102,67.0,56.0,51.0,40.0,61.5
62,sg:018f0f2504a445e482a3dcc0da98a2c7,Westminster Presbyterian Church,34.025296000000004,-118.31981,Los Angeles,CA,90018,06,06037,Los Angeles County,060372190202,20.0,14.0,17.0,12.0,17.0
63,sg:01955095f3674034bc9024d98467b72e,Redeemer Christian Church,38.727629,-121.303801,Roseville,CA,95678,06,06061,Placer County,060610208051,4.0,7.0,5.0,2.0,5.5
64,sg:019ec342ee8243cdbfd8ae9889c8d32a,Nechung Dharmapala Center,34.080597999999995,-118.366221,West Hollywood,CA,90048,06,06037,Los Angeles County,060371944011,49.0,52.0,22.0,16.0,50.5
65,sg:01a26fdb9afd41469db735188e5576e3,New Apostolic Church,34.139166,-117.314136,San Bernardino,CA,92405,06,06071,San Bernardino County,060710046041,16.0,6.0,9.0,2.0,11.0
66,sg:01b6adf77bf44a62920bd9550f008f3c,Faith Community Church,33.11592,-117.247958,Carlsbad,CA,92009,06,06073,San Diego County,060730200133,42.0,55.0,42.0,13.0,48.5
67,sg:01b78ef419b544f094893e37f6299e76,Cedar Grove Community Church,37.673733,-121.767416,Livermore,CA,94550,06,06001,Alameda County,060014516012,56.0,70.0,57.0,24.0,63.0
68,sg:01baffe96ff946df8f1c8eeb69f3fe5a,Hughson Missionary Baptist Church,37.598626,-120.86748,Hughson,CA,95326,06,06099,Stanislaus County,060990029023,40.0,30.0,33.0,27.0,35.0
69,sg:01bd97e5e4d34ca5a3fa3521e515495a,Holy Cross Lutheran Church,33.811085,-118.057272,Cypress,CA,90630,06,06059,Orange County,060591101063,38.0,24.0,15.0,11.0,31.0
71,sg:01c3571bb27e470fa50afae44aa19a6c,St Mary of the Valley Church,34.116194,-116.435585,Yucca Valley,CA,92284,06,06071,San Bernardino County,060710104133,47.0,58.0,35.0,6.0,52.5
72,sg:01c69636790d4797a68818ee2fa13167,Holy Defender Church of God In Christ,33.940552000000004,-118.300058,Los Angeles,CA,90044,06,06037,Los Angeles County,060376002022,35.0,25.0,16.0,21.0,30.0
73,sg:01c909688a60433891d21e2306d04a94,Light & Life Christian Fellowship North,33.86365,-118.151701,Long Beach,CA,90805,06,06037,Los Angeles County,060375701002,10.0,7.0,3.0,2.0,8.5
