,safegraph_place_id
0,sg:00023121464f4b9b87fdedb8701a1664
2,sg:000af9a3aeb94c8d9e2f8fa933b88ae3
3,sg:00116b6c6d5f4ef3905a2dc72519c567
4,sg:00180e2b30874040805f6f7d46f6c698
5,sg:0037a4917b2d44b694428ca6b71ce405
6,sg:003bec057f294ab48127e9f723fb993f
7,sg:0044e318bb7747e69f23b64fb846666b
9,sg:004d8dc6f17b4cd9bcd41c866a310cbf
10,sg:00517ebfcde44215a04cf58fd8406c89
11,sg:0055eaf6d0604f8e859233ca8e44d6c4
13,sg:006bd646ccdc435f9050778ad73139b9
14,sg:0070b7df79a942ccae4cdd0e56e2b890
15,sg:0073c9a85f2e4471a2d0fdfed6a7f7e3
16,sg:0076dd63ab994c76aa8768216d850bac
17,sg:007b14c986224df78a96ee811e966adb
18,sg:007ca5c9f9874e0ba8e3664126025ac8
20,sg:00823db6c5844c9aa02465637f89a8fd
21,sg:0090c65c43754b0aba4c3ac4959f4f77
22,sg:0094ab131e3d45108bee2b17c7d15497
23,sg:009932702cb54830a58f5b650784e301
24,sg:009f99d28d784118942bf0473c5edb78
25,sg:00a15c25a7ba4896a438d77884f4f63f
26,sg:00a1b2c696f348ce8de359ee599934ca
27,sg:00a204953ea040fc9540657f89793dd0
31,sg:00b32e5bf3674310bc889acd9672a8d7
32,sg:00b4add352e848cf8d0fd5f757d676f5
34,sg:00bf703848c1419a98e6ef8dc89b33ca
35,sg:00c25d4882604ef998918eb486fc2b9d
36,sg:00c3ede8c36845948310f5439f20a246
37,sg:00c46b9506d049b291fd0364c28a4fd2
39,sg:00ca9d97fefb4545bd7818c4d0f1e470
40,sg:00ce29fa2c684284be1afd442d97800d
41,sg:00cedfea472441e5ab2ef6d925f75d00
43,sg:00d73bc65bb744b3b59e26acc8a7a8af
44,sg:00d753158e9449078adf72f8db023bd5
45,sg:00e209f3d03f48679bed3d5587f6c332
47,sg:00ed83fabae14a3fa465a69e5144f6df
48,sg:00ee844898dd480abaeb4507478aa911
49,sg:00eeb479012748b4900b9391beb6563b
50,sg:00f850a0dad346189707500cc06d515a
51,sg:0100316ffea84d9a975fb1a07aee3cac
52,sg:0102fa5c13d948ba894c61ea4cb09792
53,sg:010c827e25894cf380dce874b58c0e10
