,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg
0,sg:1a6b373a0a8e4b3da11bf09a6db433d8,Mission of the Holy Spirit,37.868009,-122.263042,Berkeley,CA,94704,06,06001,Alameda County,060014228003
1,sg:89f86fc839bf4a22bd046b9dd4c71d68,The Gathering LA,34.164594,-118.371256,North Hollywood,CA,91601,06,06037,Los Angeles County,060371254012
2,sg:931142454267496c9ae2d09e83793202,First Presbyterian Church Eureka,40.7947,-124.16044699999999,Eureka,CA,95501,06,06023,Humboldt County,060230006004
3,sg:cc7210a318344e4aa1616196b1625417,Seventh Day Adventist Churches,32.967377,-117.063057,Poway,CA,92064,06,06073,San Diego County,060730170502
4,sg:e61e49c5c4e04bc6b6ca45bc60d7fa8b,The Church of Jesus Christ of Latter day Saints,34.107813,-117.666366,Upland,CA,91786,06,06071,San Bernardino County,060710008183
5,sg:ec2c5edbdad7440b99012d12ad5d631f,Shoreline Calvary Chapel,35.369465000000005,-120.84816799999999,Morro Bay,CA,93442,06,06079,San Luis Obispo County,060790106031
6,sg:294765ec90ab4934a09e8a8f501bfc41,The Pentecostals of Vacaville,38.3769,-121.944156,Vacaville,CA,95687,06,06095,Solano County,060952529112
7,sg:71acb842e56b4793a5518092bc90c195,Covenant Orthodox Presbyterian Church,37.871041999999996,-122.278772,Berkeley,CA,94703,06,06001,Alameda County,060014223003
8,sg:74e02ce5c94b41bdb29d6e3f382f1110,First United Methodist Church of Pacoima,34.276740000000004,-118.405652,Pacoima,CA,91331,06,06037,Los Angeles County,060371041052
9,sg:762f92332530450f8dd5340943a1eccc,Door Church,34.148903000000004,-119.195242,Port Hueneme,CA,93041,06,06111,Ventura County,061110044002
10,sg:bcc71541a85840f495a5a975c5917251,King's Way Church,38.256333000000005,-122.014346,Suisun City,CA,94585,06,06095,Solano County,060952527071
11,sg:bdcc3ac3354840289a1fdd9497a1faee,New Testament Church,33.993325,-118.32128700000001,Los Angeles,CA,90043,06,06037,Los Angeles County,060372346001
12,sg:d88760a029534ab18bc97fbee2210fec,New Hope Mission Methodist Church,34.078736,-118.262475,Los Angeles,CA,90026,06,06037,Los Angeles County,060371956002
13,sg:407f42fe13354160a4406856f1aaf4a0,St James A M E Zion Church,37.574209,-122.323419,San Mateo,CA,94401,06,06081,San Mateo County,060816062002
14,sg:43476a4a7a62469093c3e300a1d5b561,Inner Circle Church of Graduate Christians,34.01562,-118.33473799999999,Los Angeles,CA,90008,06,06037,Los Angeles County,060372342003
15,sg:4d5a6877e42a40e3af3052a3b92bcdcd,Carpinteria Foursquare Church,34.406411999999996,-119.510472,Carpinteria,CA,93013,06,06083,Santa Barbara County,060830016013
16,sg:8cb357fb3f504e319f9549c595916ddc,Greater New St John Missionary Baptist Church,37.752736999999996,-122.40369799999999,San Francisco,CA,94110,06,06075,San Francisco County,060750229032
