,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,base,size
0,sg:00023121464f4b9b87fdedb8701a1664,Wheatstone Ministries,33.870148,-117.922463,Fullerton,CA,92832,06,06059,Orange County,060590113001,5.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0
1,sg:000af9a3aeb94c8d9e2f8fa933b88ae3,Messiah Lutheran Church,37.809699,-121.952176,Danville,CA,94526,06,06013,Contra Costa County,060133462041,21.0,17.0,20.0,22.0,12.0,17.0,15.0,18.5,1.0
2,sg:00116b6c6d5f4ef3905a2dc72519c567,South Valley Church Of Christ,37.138068,-121.667717,Morgan Hill,CA,95037,06,06085,Santa Clara County,060855123141,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,sg:00180e2b30874040805f6f7d46f6c698,Calvary Chapel of Santa Rosa,38.449222,-122.734502,Santa Rosa,CA,95401,06,06097,Sonoma County,060971530013,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,sg:0037a4917b2d44b694428ca6b71ce405,Foothills Community Church,38.419528,-122.70405600000001,Santa Rosa,CA,95404,06,06097,Sonoma County,060971514011,59.0,45.0,39.0,41.0,23.0,17.0,26.0,42.0,3.0
5,sg:003bec057f294ab48127e9f723fb993f,Lutheran Church of Prayer,35.402842,-118.914625,Bakersfield,CA,93306,06,06029,Kern County,060290009104,10.0,9.0,9.0,12.0,1.0,3.0,6.0,9.0,0.0
6,sg:0044e318bb7747e69f23b64fb846666b,Trabuco Presbyterian Church,33.646336,-117.57718999999999,Trabuco Canyon,CA,92679,06,06059,Orange County,060590320423,31.0,39.0,45.0,27.0,22.0,23.0,42.0,42.0,3.0
7,sg:004d8dc6f17b4cd9bcd41c866a310cbf,Community of Christ,37.576295,-122.04069799999999,Fremont,CA,94555,06,06001,Alameda County,060014414022,27.0,21.0,16.0,14.0,2.0,3.0,0.0,18.5,1.0
8,sg:00517ebfcde44215a04cf58fd8406c89,Cathedral Chapel Church,34.058003,-118.34601799999999,Los Angeles,CA,90036,06,06037,Los Angeles County,060372162003,22.0,15.0,13.0,4.0,3.0,1.0,6.0,14.0,1.0
9,sg:0055eaf6d0604f8e859233ca8e44d6c4,Iglesia Del Senor,33.979073,-118.191476,Bell,CA,90201,06,06037,Los Angeles County,060375336012,18.0,18.0,15.0,12.0,9.0,10.0,17.0,16.5,1.0
10,sg:006bd646ccdc435f9050778ad73139b9,St Mark AME Zion Church,37.471486999999996,-122.13531299999998,East Palo Alto,CA,94303,06,06081,San Mateo County,060816119001,12.0,11.0,7.0,4.0,4.0,4.0,6.0,9.0,0.0
11,sg:0070b7df79a942ccae4cdd0e56e2b890,St Paul's United Methodist Church,34.181561,-119.18071599999999,Oxnard,CA,93033,06,06111,Ventura County,061110038021,19.0,11.0,15.0,11.0,2.0,1.0,3.0,13.0,1.0
12,sg:0073c9a85f2e4471a2d0fdfed6a7f7e3,St Peter's Episcopal Church,33.737178,-118.31363999999999,San Pedro,CA,90732,06,06037,Los Angeles County,060372964011,22.0,20.0,19.0,9.0,2.0,4.0,4.0,19.5,1.0
13,sg:0076dd63ab994c76aa8768216d850bac,Hsi Fang Temple,32.759753,-117.146601,San Diego,CA,92116,06,06073,San Diego County,060730005002,22.0,36.0,27.0,11.0,2.0,4.0,4.0,31.5,3.0
14,sg:007b14c986224df78a96ee811e966adb,First Presbyterian Church Of Petaluma,38.224921,-122.643049,Petaluma,CA,94952,06,06097,Sonoma County,060971508004,31.0,22.0,23.0,15.0,7.0,8.0,12.0,22.5,2.0
15,sg:007ca5c9f9874e0ba8e3664126025ac8,Central Christian Church,37.277476,-121.910959,San Jose,CA,95124,06,06085,Santa Clara County,060855029022,119.0,113.0,107.0,69.0,30.0,29.0,53.0,110.0,5.0
16,sg:00823db6c5844c9aa02465637f89a8fd,Lord's Light Community Church,33.832075,-118.040701,Cypress,CA,90630,06,06059,Orange County,060591101043,24.0,23.0,19.0,15.0,0.0,0.0,4.0,21.0,2.0
17,sg:0090c65c43754b0aba4c3ac4959f4f77,Coast Christian Fellowship,33.806631,-118.35673,Torrance,CA,90505,06,06037,Los Angeles County,060376513021,21.0,16.0,19.0,8.0,2.0,0.0,2.0,17.5,1.0
18,sg:0094ab131e3d45108bee2b17c7d15497,Pine Mtn Christian Community Church Activity Ctr,34.849488,-119.16588899999999,Frazier Park,CA,93222,06,06029,Kern County,060290033062,12.0,9.0,6.0,8.0,4.0,4.0,8.0,7.5,0.0
19,sg:009932702cb54830a58f5b650784e301,City of Grace,38.547366,-121.437059,Sacramento,CA,95817,06,06067,Sacramento County,060670017004,13.0,14.0,14.0,3.0,7.0,7.0,9.0,14.0,1.0
20,sg:009f99d28d784118942bf0473c5edb78,Macedonia Baptist Church,38.645941,-121.44918799999999,Sacramento,CA,95838,06,06067,Sacramento County,060670067014,25.0,34.0,44.0,27.0,2.0,12.0,12.0,39.0,3.0
