,ZIP,outcome,preperiod,large
0,94102,23.0,32.0,0.2536706349206349
1,94103,34.25,54.5,0.3164502164502164
2,94104,0.0,4.25,0.575
3,94105,6.0,9.5,0.4375
4,94107,20.0,27.0,0.48631138975966565
5,94109,8.0,13.5,0.32291666666666663
6,94110,43.25,76.0,0.38784950866817064
7,94112,93.0,151.5,0.5608555218882962
8,94114,17.0,31.5,0.0
9,94115,27.0,38.0,0.6333333333333333
10,94116,63.25,103.5,0.3489997773622317
11,94117,4.0,10.375,0.1924019607843137
12,94118,37.0,52.0,0.4255262891020274
13,94121,56.75,95.125,0.3481338829802626
14,94122,91.0,136.0,0.5187214681879736
15,94123,4.0,4.0,0.0
16,94124,120.5,179.375,0.19024601249371853
17,94127,40.0,61.0,0.5935267857142859
18,94129,11.0,16.5,0.5
19,94131,19.0,29.5,0.550595238095238
20,94132,46.5,54.0,0.44444444444444453
21,94133,9.0,21.0,0.2023532023532023
22,94134,107.0,142.875,0.5017600474823019
23,94140,4.0,4.0,1.0
24,94146,0.0,0.5,0.0
25,94158,10.0,16.75,0.539044289044289
26,94159,13.0,18.5,0.65625
27,94164,19.0,22.0,0.8181818181818182
28,94188,3.0,5.5,0.0
29,94501,123.75,196.375,0.32414118216578985
30,94502,32.25,50.5,0.617880529912519
31,94536,60.0,130.25,0.5102126304623966
32,94537,16.0,22.0,0.2727272727272727
33,94538,98.0,143.5,0.420568616933836
34,94539,141.5,200.0,0.5552070394754579
35,94540,9.0,10.0,0.5128205128205128
36,94541,123.75,194.0,0.4000196875788331
37,94542,29.0,45.5,0.4422348484848485
38,94543,14.0,22.5,0.546875
39,94544,290.25,394.375,0.3919094639614803
40,94545,88.5,134.5,0.4470215479974001
41,94546,103.25,177.0,0.17871201788727864
42,94550,120.5,192.5,0.45326733718130735
43,94551,78.0,120.0,0.7699451431558286
44,94552,30.75,78.75,0.4356153059971225
45,94555,67.0,99.0,0.5468972114958168
46,94557,8.0,18.5,0.44166666666666665
47,94560,103.0,172.0,0.28559163194620846
48,94566,91.0,124.0,0.621568889035683
49,94568,93.75,149.5,0.6569301712779974
50,94577,89.75,152.5,0.2985343065077047
51,94578,51.0,97.125,0.12473132557652798
52,94579,87.5,109.0,0.46847566944549707
53,94580,88.0,138.5,0.3268755726682297
54,94586,4.0,11.5,0.7666666666666666
55,94587,168.25,292.5,0.6911542915133819
56,94588,58.75,82.0,0.7690859465798594
57,94601,86.75,165.0,0.20139770932824938
58,94602,33.0,65.875,0.3725882053704444
59,94603,78.5,123.5,0.23064797929560862
60,94604,0.0,3.0,0.0
61,94605,88.25,147.0,0.2469326877889893
62,94606,65.25,123.375,0.4106075215444537
63,94607,27.0,46.75,0.08847632056536461
64,94608,41.0,54.5,0.46635109937490504
65,94609,24.0,44.0,0.09846465588809625
66,94610,30.0,54.25,0.3008706934370149
67,94611,28.0,40.0,0.10119949494949496
68,94612,10.0,16.0,0.5166666666666666
69,94614,13.75,18.5,0.0
70,94618,13.0,26.5,0.15297619047619046
71,94619,35.0,64.75,0.292348959498257
72,94621,72.0,141.5,0.2619600879601788
73,94623,0.0,5.0,0.0
74,94624,20.0,27.0,0.15173608001194208
75,94661,3.0,6.0,1.0
76,94662,5.0,8.0,0.5
77,94701,11.0,16.0,0.25
78,94702,8.75,16.5,0.24561403508771926
79,94703,11.0,38.375,0.32611159505860726
80,94704,37.0,50.0,0.5423142564569348
81,94705,10.0,14.0,0.875
82,94706,22.0,43.5,0.18819444444444444
83,94707,3.0,8.0,0.5
84,94708,3.0,10.5,0.3958333333333333
85,94709,6.0,9.0,0.0
86,94710,3.0,7.5,0.5625
87,94720,3.0,6.0,0.75
