,cbg,before,after,instrument
0,060014003001,7.5,0.0,0.5625
1,060014003002,3.0,0.0,0.0
2,060014003003,4.0,0.0,0.0
3,060014005001,6.0,4.0,0.0
4,060014006001,0.5,0.0,0.0
5,060014007001,4.0,4.0,0.0
6,060014007002,0.5,0.0,0.0
7,060014008002,4.0,0.0,0.0
8,060014008003,4.0,0.0,0.0
9,060014009001,0.75,0.0,0.0
10,060014009002,4.5,4.0,0.0
11,060014010003,4.75,0.0,0.0
12,060014010004,4.0,4.0,1.0
13,060014010005,20.0,17.0,0.6554621848739496
14,060014011001,5.0,0.0,0.0
15,060014011003,5.0,5.0,0.0
16,060014011004,8.5,4.0,0.0
17,060014012003,4.0,4.0,1.0
18,060014013001,5.0,0.0,0.875
19,060014013002,4.0,4.0,1.0
20,060014014001,3.0,0.0,0.0
21,060014014002,5.0,0.0,0.0
22,060014014003,7.0,0.0,0.0
23,060014016002,6.5,0.0,0.0
24,060014017002,4.0,0.0,0.0
25,060014022001,4.5,0.0,0.0
26,060014022003,0.5,0.0,0.0
27,060014024001,1.75,0.0,0.0
28,060014024002,9.5,8.0,0.4375
29,060014025001,10.5,0.0,0.0
30,060014025002,4.0,4.0,0.0
31,060014026001,4.0,0.0,0.0
32,060014027001,4.0,4.0,0.0
33,060014027002,3.0,0.0,0.0
34,060014030001,0.5,0.0,0.0
35,060014034004,3.0,0.0,0.0
36,060014035011,4.0,4.0,0.0
37,060014035012,8.0,8.0,0.0
38,060014035013,8.0,8.0,0.0
39,060014035022,4.0,0.0,0.0
40,060014036001,1.25,0.0,0.0
41,060014036002,4.0,4.0,0.0
42,060014036003,2.5,0.0,0.0
43,060014037011,1.5,0.0,0.0
44,060014037021,4.0,0.0,1.0
45,060014038001,4.0,4.0,1.0
46,060014039003,3.0,0.0,0.0
47,060014040001,4.0,0.0,0.0
48,060014041011,4.0,0.0,0.0
49,060014042002,4.0,0.0,0.0
50,060014042003,4.0,4.0,0.0
51,060014043003,4.0,0.0,0.0
52,060014044001,1.5,0.0,0.0
53,060014045011,4.5,4.0,0.9375
54,060014045024,6.0,0.0,1.0
55,060014046004,4.0,0.0,0.0
56,060014048001,8.375,0.0,0.0
57,060014048002,2.5,0.0,0.0
58,060014049003,8.0,0.0,0.5
59,060014049004,4.0,0.0,0.0
60,060014051002,8.0,0.0,0.5
61,060014052001,10.0,9.0,0.0
62,060014052002,4.0,4.0,1.0
63,060014052004,8.0,0.0,0.0
64,060014053021,2.5,0.0,0.0
65,060014053022,6.5,4.0,0.6875
66,060014054011,8.0,4.0,0.5
67,060014054012,15.0,12.0,0.5555555555555555
68,060014054013,6.0,4.0,0.75
69,060014054021,5.5,0.0,0.0
70,060014054022,8.0,4.0,0.5416666666666666
71,060014055002,5.0,5.0,1.0
72,060014056003,2.0,0.0,0.0
73,060014057002,12.5,4.0,0.6458333333333333
74,060014058001,2.0,0.0,0.0
75,060014058003,4.0,0.0,0.0
76,060014058004,13.875,0.0,0.0
77,060014059012,7.0,7.0,1.0
78,060014059013,4.0,0.0,0.0
79,060014059021,4.0,0.0,1.0
80,060014059022,15.5,4.0,0.0
81,060014060002,2.0,0.0,0.0
82,060014061001,2.0,0.0,0.0
83,060014061002,3.5,0.0,0.0
84,060014061004,4.0,0.0,0.0
85,060014062011,4.0,0.0,1.0
86,060014062012,4.0,4.0,0.0
87,060014062013,4.0,4.0,0.0
88,060014062014,4.0,4.0,0.0
89,060014062021,12.0,4.0,0.0
90,060014062023,7.5,4.0,0.0
91,060014063002,4.0,4.0,0.0
92,060014063004,8.0,4.0,0.5
93,060014064002,4.0,4.0,0.0
94,060014065001,15.0,8.0,0.0
95,060014065003,8.0,4.0,0.0
96,060014066011,12.0,4.0,0.6666666666666666
97,060014066012,4.0,0.0,1.0
98,060014066022,10.5,4.0,0.3958333333333333
99,060014067003,8.5,0.0,0.55
100,060014067004,4.0,4.0,0.0
101,060014068003,6.25,4.0,0.0
102,060014069002,1.5,0.0,0.0
103,060014069003,2.0,0.0,0.0
104,060014070002,4.0,4.0,0.0
105,060014070004,6.0,0.0,1.0
106,060014070005,2.0,0.0,0.0
107,060014071011,4.0,4.0,1.0
108,060014071012,4.0,0.0,0.0
109,060014071021,13.0,0.0,0.6923076923076924
110,060014071024,7.0,0.0,0.0
111,060014072001,0.5,0.0,0.0
112,060014072002,1.5,0.0,0.0
113,060014072003,4.0,0.0,0.0
114,060014072004,8.0,4.0,0.0
115,060014073002,16.0,8.0,0.25
116,060014074001,13.0,0.0,0.0
117,060014074002,6.0,0.0,0.0
118,060014074003,4.0,4.0,1.0
119,060014075002,3.5,0.0,0.0
120,060014075003,3.0,0.0,0.0
121,060014076004,4.0,0.0,1.0
122,060014077001,11.0,5.0,0.0
123,060014077002,4.0,0.0,0.0
124,060014079001,4.0,4.0,0.0
125,060014079002,1.0,0.0,0.0
126,060014079003,8.0,8.0,1.0
127,060014080001,4.0,0.0,1.0
128,060014080002,11.0,4.0,0.0
129,060014081001,4.0,0.0,1.0
130,060014081002,2.0,0.0,0.0
131,060014081004,1.5,0.0,0.0
132,060014082001,9.5,4.0,0.0
133,060014082002,7.0,0.0,0.0
134,060014083001,3.5,0.0,0.0
135,060014083005,4.0,0.0,1.0
136,060014084001,4.0,0.0,0.0
137,060014084002,6.5,0.0,0.0
138,060014084003,7.0,0.0,0.0
139,060014085001,3.5,0.0,0.0
140,060014085003,3.0,0.0,0.0
141,060014085004,1.5,0.0,0.0
142,060014085005,10.0,0.0,0.4583333333333333
143,060014086001,11.5,4.0,0.35416666666666663
144,060014086002,4.0,4.0,0.0
145,060014087002,12.0,8.0,0.3333333333333333
146,060014087003,16.0,12.0,0.0
147,060014087004,10.0,0.0,0.0
148,060014087005,3.0,0.0,0.0
149,060014087006,10.5,8.0,0.3958333333333333
150,060014088001,12.0,8.0,0.0
151,060014088002,16.0,0.0,0.75
