,before,after,instrument
0,14.5,0.0,0.29166666666666663
1,6.0,4.0,0.0
2,0.5,0.0,0.0
3,4.5,4.0,0.0
4,8.0,0.0,0.0
5,5.25,4.0,0.0
6,28.75,21.0,0.6042939244663382
7,18.5,9.0,0.0
8,4.0,4.0,1.0
9,9.0,4.0,0.9166666666666666
10,15.0,0.0,0.0
11,6.5,0.0,0.0
12,4.0,0.0,0.0
13,5.0,0.0,0.0
14,11.25,8.0,0.4067982456140351
15,14.5,4.0,0.0
16,4.0,0.0,0.0
17,7.0,4.0,0.0
18,0.5,0.0,0.0
19,3.0,0.0,0.0
20,24.0,20.0,0.0
21,7.75,4.0,0.0
22,5.5,0.0,0.8125
23,4.0,4.0,1.0
24,3.0,0.0,0.0
25,4.0,0.0,0.0
26,4.0,0.0,0.0
27,8.0,4.0,0.0
28,4.0,0.0,0.0
29,1.5,0.0,0.0
30,10.5,4.0,0.9642857142857143
31,4.0,0.0,0.0
32,10.875,0.0,0.0
33,12.0,0.0,0.3333333333333333
34,8.0,0.0,0.5
35,22.0,13.0,0.18285714285714286
36,9.0,4.0,0.5833333333333333
37,42.5,24.0,0.49391534391534386
38,5.0,5.0,1.0
39,2.0,0.0,0.0
40,12.5,4.0,0.6458333333333333
41,19.875,0.0,0.0
42,30.5,11.0,0.3662518853695324
43,2.0,0.0,0.0
44,9.5,0.0,0.0
45,35.5,20.0,0.11284722222222224
46,12.0,8.0,0.3333333333333333
47,4.0,4.0,0.0
48,23.0,12.0,0.0
49,26.5,8.0,0.6071428571428571
50,12.5,4.0,0.33928571428571425
51,6.25,4.0,0.0
52,3.5,0.0,0.0
53,12.0,4.0,0.5142857142857142
54,28.0,4.0,0.4662068965517241
55,14.0,4.0,0.0
56,16.0,8.0,0.25
57,23.0,4.0,0.17523809523809525
58,6.5,0.0,0.0
59,4.0,0.0,1.0
60,15.0,5.0,0.0
61,13.0,12.0,0.625
62,15.0,4.0,0.2708333333333333
63,7.5,0.0,0.7395833333333333
64,16.5,4.0,0.0
65,7.5,0.0,0.5625
66,17.5,0.0,0.0
67,18.0,0.0,0.3104166666666667
68,15.5,8.0,0.2604166666666667
69,51.5,28.0,0.15607085346215782
70,35.5,8.0,0.4555555555555556
71,25.0,12.0,0.32619047619047614
72,18.5,8.0,0.0
73,7.0,4.0,0.0
74,12.0,8.0,0.3333333333333333
75,10.0,8.0,0.0
76,27.0,17.0,0.15173608001194208
77,17.5,0.0,0.0
78,23.5,18.0,0.18187759952465837
79,20.0,4.0,0.44880952380952377
80,16.0,12.0,0.5
81,14.5,8.0,0.28125
82,16.0,8.0,0.5
83,26.5,8.0,0.23344988344988346
84,16.0,4.0,0.25
85,32.0,22.0,0.18885448916408668
86,6.0,6.0,0.0
87,10.5,8.0,0.0
88,6.5,4.0,0.6875
89,8.0,4.0,0.0
90,10.5,0.0,0.0
91,8.0,4.0,0.5
92,4.0,0.0,1.0
93,4.0,0.0,0.0
94,4.0,0.0,1.0
95,4.0,0.0,0.0
96,2.5,0.0,0.0
97,3.5,0.0,0.0
98,4.0,0.0,1.0
99,2.5,0.0,0.0
100,4.0,0.0,0.0
101,5.0,0.0,0.0
102,8.0,4.0,0.5
103,6.0,0.0,0.75
104,23.0,4.0,0.7095238095238094
105,16.0,4.0,0.25
106,0.5,0.0,0.0
107,1.5,0.0,0.0
108,11.0,4.0,0.3636363636363637
109,14.5,4.0,0.28125
110,7.375,0.0,0.0
111,21.0,11.0,0.3363844393592677
112,4.0,4.0,1.0
113,4.0,0.0,1.0
114,9.5,0.0,0.8333333333333333
115,12.0,4.0,0.3333333333333333
116,16.0,8.0,0.75
117,2.0,0.0,0.0
118,2.5,0.0,0.0
119,22.875,8.0,0.17886904761904762
120,12.0,0.0,0.3333333333333333
121,9.0,4.0,0.4583333333333333
122,18.5,0.0,0.0
123,13.5,0.0,0.0
124,15.0,4.0,0.2708333333333333
125,11.0,4.0,0.7708333333333333
126,18.5,0.0,0.28726708074534163
127,29.0,13.0,0.4482758620689654
128,50.5,0.0,0.617880529912519
129,8.5,4.0,0.47916666666666663
130,7.0,0.0,0.0
131,12.0,0.0,0.6666666666666666
132,17.0,4.0,0.5294117647058824
133,42.75,6.0,0.40457615301365296
134,10.5,0.0,0.44791666666666663
135,16.5,8.0,0.4875
136,20.0,8.0,0.0
137,13.0,0.0,0.34791666666666665
138,23.0,8.0,0.30434782608695654
139,46.0,24.0,0.17593161648081557
140,24.5,9.0,0.1659113300492611
141,12.0,4.0,0.0
142,24.0,13.0,0.0
143,18.0,8.0,0.0
144,12.0,8.0,0.0
145,11.0,8.0,0.0
146,17.5,4.0,0.5168067226890756
147,15.5,0.0,0.5208333333333334
148,29.0,8.0,0.41379310344827586
149,39.0,20.0,0.21788922790066953
150,4.0,0.0,0.0
151,1.0,0.0,0.0
152,46.0,28.0,0.26280594405594404
153,14.5,0.0,0.0
154,26.0,20.0,0.15550595238095238
155,33.0,4.0,0.8787878787878788
156,17.0,13.0,0.4705882352941177
157,33.0,22.0,0.303921568627451
158,5.0,0.0,0.0
