ZIP,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25
94102,32.0,28.0,24.0,24.0,24.0,20.0,20.0,20.0,16.0,16.0,16.0,16.0,12.0,12.0,12.0,12.0,4.0,4.0,4.0,4.0,4.0,4.0
94103,43.0,43.0,43.0,43.0,39.0,31.0,31.0,27.0,27.0,27.0,23.0,15.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
94104,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94105,8.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94107,20.0,16.0,16.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0
94109,12.0,12.0,12.0,12.0,12.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
94110,59.0,55.0,55.0,55.0,42.0,42.0,34.0,34.0,34.0,26.0,26.0,22.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
94112,92.0,80.0,80.0,76.0,64.0,56.0,48.0,44.0,40.0,40.0,40.0,28.0,8.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0
94114,36.0,32.0,32.0,32.0,32.0,32.0,28.0,28.0,24.0,24.0,20.0,20.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
94115,16.0,16.0,16.0,16.0,12.0,12.0,12.0,12.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94116,79.0,75.0,71.0,63.0,63.0,63.0,63.0,63.0,63.0,55.0,33.0,25.0,20.0,16.0,16.0,16.0,4.0,4.0,4.0,0.0,0.0,0.0
94117,13.0,13.0,13.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0
94118,46.0,46.0,42.0,34.0,26.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
