ZIP,2019-12-30,2020-01-06,2020-01-13,2020-01-20,2020-01-27,2020-02-03,2020-02-10,2020-02-17,2020-02-24,2020-03-02,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15
94102,40.0,36.0,32.0,32.0,32.0,28.0,28.0,28.0,24.0,24.0,24.0,24.0,20.0,20.0,20.0,16.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
94103,60.0,60.0,60.0,60.0,56.0,48.0,48.0,44.0,44.0,44.0,40.0,32.0,21.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,13.0,9.0,9.0,9.0,9.0
94104,10.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94105,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94107,37.0,29.0,29.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,21.0,17.0,17.0,17.0,17.0,17.0,13.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
94109,16.0,16.0,16.0,16.0,16.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
94110,88.0,84.0,84.0,84.0,71.0,71.0,63.0,63.0,63.0,55.0,55.0,47.0,16.0,16.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94112,176.0,164.0,164.0,160.0,148.0,140.0,132.0,128.0,124.0,124.0,124.0,80.0,44.0,32.0,28.0,20.0,16.0,16.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
94114,40.0,32.0,32.0,32.0,32.0,32.0,28.0,28.0,24.0,24.0,20.0,20.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
94115,40.0,40.0,40.0,40.0,36.0,36.0,36.0,36.0,32.0,32.0,32.0,24.0,20.0,20.0,16.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
